"gameId","playId","inMotionAtBallSnap","position","offenseFormation","receiverAlignment","teamAbbr"
2022101604,763,TRUE,"RB","SHOTGUN","2x2","MIA"
2022101604,1177,TRUE,"RB","SHOTGUN","2x2","MIA"
2022101604,2145,TRUE,"RB","SHOTGUN","2x2","MIA"
2022102311,1727,TRUE,"RB","SHOTGUN","2x2","MIA"
2022091800,1052,FALSE,"WR","SHOTGUN","2x2","MIA"
2022092503,2828,TRUE,"WR","SHOTGUN","2x2","MIA"
2022100907,1769,TRUE,"WR","SHOTGUN","2x2","MIA"
2022103003,840,FALSE,"WR","SHOTGUN","2x2","MIA"
2022110601,349,TRUE,"WR","SHOTGUN","2x2","MIA"
2022102311,2232,TRUE,"WR","SHOTGUN","2x2","MIA"
2022102311,2253,TRUE,"WR","SHOTGUN","2x2","MIA"
2022091800,3236,FALSE,"TE","SHOTGUN","2x2","MIA"
2022091800,3850,FALSE,"TE","SHOTGUN","2x2","MIA"
2022103003,2985,FALSE,"TE","SINGLEBACK","2x2","MIA"
2022110601,2379,FALSE,"TE","SHOTGUN","2x2","MIA"
2022091106,3437,FALSE,"TE","SHOTGUN","2x2","MIA"
2022092900,3371,FALSE,"TE","SINGLEBACK","2x2","MIA"
2022091106,2358,TRUE,"WR","SHOTGUN","2x2","MIA"
2022091800,3207,FALSE,"WR","SINGLEBACK","2x2","MIA"
2022091106,2405,FALSE,"WR","SHOTGUN","2x2","MIA"
2022091800,1188,FALSE,"WR","SINGLEBACK","2x2","MIA"
2022092900,3479,TRUE,"WR","SHOTGUN","2x2","MIA"
2022100907,1872,TRUE,"WR","SHOTGUN","2x2","MIA"
2022101604,2518,FALSE,"WR","SHOTGUN","2x2","MIA"
2022101604,3413,TRUE,"WR","SINGLEBACK","2x2","MIA"
2022101604,3565,FALSE,"WR","SHOTGUN","2x2","MIA"
2022102311,1932,TRUE,"WR","SHOTGUN","2x2","MIA"
2022091800,1688,FALSE,"FB","SINGLEBACK","2x2","MIA"
2022092900,383,TRUE,"FB","SHOTGUN","2x2","MIA"
2022101604,295,TRUE,"FB","SHOTGUN","2x2","MIA"
2022101604,2714,FALSE,"FB","SINGLEBACK","2x2","MIA"
2022103003,1262,TRUE,"FB","SHOTGUN","2x2","MIA"
2022092900,1316,TRUE,"WR","SHOTGUN","2x2","MIA"
2022100907,1928,FALSE,"WR","SHOTGUN","2x2","MIA"
2022110601,1905,TRUE,"WR","SHOTGUN","2x2","MIA"
2022103003,697,TRUE,"RB","SHOTGUN","3x1","MIA"
2022091106,466,TRUE,"WR","SHOTGUN","3x1","MIA"
2022091106,1544,TRUE,"WR","SHOTGUN","3x1","MIA"
2022102311,3275,TRUE,"WR","SHOTGUN","3x1","MIA"
2022091800,2329,TRUE,"WR","SINGLEBACK","3x1","MIA"
2022091800,2977,TRUE,"WR","SHOTGUN","3x1","MIA"
2022091800,3898,TRUE,"WR","SHOTGUN","3x1","MIA"
2022092503,1334,TRUE,"WR","SHOTGUN","3x1","MIA"
2022100907,493,TRUE,"WR","SHOTGUN","3x1","MIA"
2022101604,1659,TRUE,"TE","SHOTGUN","3x1","MIA"
2022101604,1893,TRUE,"TE","SHOTGUN","3x1","MIA"
2022102311,1175,TRUE,"TE","SHOTGUN","3x1","MIA"
2022103003,395,TRUE,"TE","SHOTGUN","3x1","MIA"
2022103003,612,TRUE,"TE","SHOTGUN","3x1","MIA"
2022092503,1286,TRUE,"WR","SHOTGUN","3x1","MIA"
2022092503,1310,TRUE,"WR","SHOTGUN","3x1","MIA"
2022092503,1755,TRUE,"WR","SHOTGUN","3x1","MIA"
2022092900,407,TRUE,"WR","SHOTGUN","3x1","MIA"
2022092900,429,TRUE,"WR","SHOTGUN","3x1","MIA"
2022102311,111,TRUE,"WR","SHOTGUN","3x1","MIA"
2022110601,979,TRUE,"WR","SHOTGUN","3x1","MIA"
2022110601,1003,TRUE,"WR","SHOTGUN","3x1","MIA"
2022110601,1791,TRUE,"WR","SHOTGUN","3x1","MIA"
2022110601,2336,TRUE,"WR","SHOTGUN","3x1","MIA"
2022091106,290,TRUE,"FB","SHOTGUN","3x1","MIA"
2022092900,334,TRUE,"FB","SINGLEBACK","3x1","MIA"
2022102311,427,TRUE,"FB","SINGLEBACK","3x1","MIA"
2022102311,1223,TRUE,"FB","SINGLEBACK","3x1","MIA"
2022091100,3050,TRUE,"RB","SHOTGUN","2x2","ATL"
2022091100,212,FALSE,"RB","SHOTGUN","2x2","ATL"
2022092511,330,FALSE,"FB","SINGLEBACK","2x2","ATL"
2022110600,2742,TRUE,"TE","PISTOL","2x2","ATL"
2022100908,309,FALSE,"WR","SHOTGUN","2x2","ATL"
2022092511,429,FALSE,"TE","SHOTGUN","2x2","ATL"
2022091807,3022,TRUE,"WR","PISTOL","2x2","ATL"
2022091807,2188,TRUE,"WR","PISTOL","2x2","ATL"
2022101600,2765,TRUE,"WR","SHOTGUN","2x2","ATL"
2022103001,959,TRUE,"WR","SHOTGUN","2x2","ATL"
2022091807,1616,FALSE,"TE","SHOTGUN","2x2","ATL"
2022101600,1979,FALSE,"TE","SHOTGUN","2x2","ATL"
2022101600,2741,FALSE,"TE","SHOTGUN","2x2","ATL"
2022110600,477,TRUE,"TE","SINGLEBACK","2x2","ATL"
2022091100,3050,FALSE,"TE","SHOTGUN","2x2","ATL"
2022091807,3452,TRUE,"TE","PISTOL","2x2","ATL"
2022100201,1293,TRUE,"TE","SHOTGUN","2x2","ATL"
2022102302,1413,TRUE,"TE","SHOTGUN","2x2","ATL"
2022110600,2017,TRUE,"TE","SINGLEBACK","2x2","ATL"
2022092511,1241,TRUE,"WR","PISTOL","2x2","ATL"
2022100908,3233,FALSE,"TE","PISTOL","2x2","ATL"
